日期,主题,消息源,机构,链接,消息内容
2025-12-01,"商务部：2025年继续暂停磷矿石、白银出口配额管理，实行出口许可证管理",,商务部,,"商务部：2025年继续暂停磷矿石、白银出口配额管理，实行出口许可证管理。商务部公布2025年货物出口配额总量：继续暂停磷矿石、白银出口配额管理，实行出口许可证管理。符合条件的出口磷矿石或白银的对外贸易经营者，可凭有效的货物出口合同申领出口许可证，凭出口许可证向海关办理货物出口报关验放手续。"
2025-12-26,香港将运营黄金中央清算系统,新浪财经,中国香港特区政大宗商品策略委员会,https://finance.sina.com.cn/roll/2025-12-26/doc-inheautr2852929.shtml,"筹划及实施近两年后，随着一系列产业基础夯实，中国香港特区在黄金等贵金属及大宗商品生态方面的发展，有望于2026年进入加速期。中国香港特区政府新近成立的一个名为“大宗商品策略委员会”近日召开的首次会议，对此透露出了一系列信息。该委员会由香港特区政府行政长官李家超在2025年《施政报告》中提出，设立其主席为特区政府财政司司长陈茂波。此次会议除听取有关全球大宗商品的市场趋势和中国香港的未来发展潜力，亦对重点范畴进行了划定。"
2025-12-27,"金属风暴，席卷全球",无,无,,"三大因素：第一，供需矛盾激化；第二，对冲货币贬值；第三，机构恶意炒作。现在已经进入到第三了，机构在恶意炒作。"
2025-12-25,国投白银LOF停牌,金十数据,国投白银,,"12月25日讯，国投白银LOF公告，将于2025年12月26日开市起至当日10:30停牌，自2025年12月26日10:30复牌。目前，本基金A类基金份额申购金额上限为500.00元。后续，本基金管理人将调整A类基金份额申购限额，本基金二级市场价格的高溢价率不具备可持续性，敬请特别关注。(金十数据APP)"
2025-12-29,芝商所上调保证金,金十数据,芝商所(COMEX),,"芝商所：将于12月29日收盘后全面上调黄金、白银、锂等金属期货品种的履约保证金"
2025-12-29,"香港财政司司长陈茂波：三方面助力人民币国际化，吸引全球优质公司来港上市，开拓国际黄金交易新机遇。",美元环流新闻,香港财政司,,"香港财政司司长陈茂波：三方面助力人民币国际化，吸引全球优质公司来港上市，开拓国际黄金交易新机遇。陈茂波表示，将持续巩固提升在金融市场的优势领域，包括提升股市竞争力，吸引更多来自东南亚、中东，以至全球南方等不同地方的优质公司来港上市。同时亦要丰富本港金融市场的多元面向，包括加速发展固定收益及货币市场、绿色金融、金融科技，以至积极开拓包括大宗商品贸易和国际黄金交易等新机遇。香港作为离岸人民币业务枢纽，会继续从三方面助力人民币国际化的稳慎推进，包括提升离岸人民币流动性、优化相关金融基建和丰富投资产品和风险管理工具"
2025-12-31,"一周内第二次 芝商所再次上调贵金属期货保证金",金十数据,芝商所(COMEX),,"金十数据12月31日讯，芝商所表示，将在周三收市后，在一周内第二次上调贵金属期货保证金。此前，贵金属经历了一段剧烈波动的交易期。该集团在声明中表示，黄金、白银、铂金和钯金合约的保证金将会增加。声明称，这一决定是基于对“市场波动性以确保充足的抵押品覆盖”的审查做出的。本周，贵金属在历史性一年的动荡收尾中剧烈波动。白银的波动尤为明显，其期货价格在周一早些时候飙升至每盎司82美元以上的历史新高，随后出现大幅回调。上调保证金意味着交易者在交易贵金属期货时需要提供更多抵押品，以确保能够履行义务。此前，第-轮上调的保证金已于周一开始生效。"
2025-12-31,"贵金属上演过山车行情:白银暴跌后反弹超5%，黄金冲高回落",外太空来客,,,"在经历前一日暴跌后，现货白银周二强势反弹，盘中最高涨超5%触及78美元附近。现货黄金一度涨1.6%站上4400美元，但美盘时段回吐大部分涨幅，最终仅微涨0.33%。分析认为这是年未流动性紧张下拥挤交易的集中释放。"
2026-01-01,"紫金矿业新任董事长邹来昌表示公司将扩大全球矿产资源规模",美元环流新闻,紫金矿业,,"中国最大的矿业公司紫金矿业新任董事长邹来昌发表新年致辞称，公司将加大战略性矿产资源获取力度，以金、铜为重点发展矿种，全面形成具有全球竞争力的锂板块。邹来昌表示，紫金矿业将密切关注有重大影响力的超大型矿产及中型矿业公司并购机会，并加大国内重点区域的资源投资开发力度。"
2026-01-02,"严控黄金交易！全球央行“亲自下场”，“直购”境内金矿，严防走私出口。",美元环流新闻,全球央行,,"严控黄金交易！全球央行“亲自下场”，“直购”境内金矿，严防走私出口。金价狂飙的背景下，全球手工黄金走私激增，致使马达加斯加等产金国面临数十亿美元的财政“失血”。为遏制非法流失，多国央行打破常规下场“收储”。在扩充官方储备与外汇的同时，监管层正试图利用同位素扫描等新兴技术，破解“冲突黄金”流入国库的合规难题。"